num_agents,flowtime_pp_mean,flowtime_cbs_mean,flowtime_trained_pp_mean
3,60.74226804123711,59.75257731958763,60.381443298969074
7,144.3939393939394,140.86363636363637,143.03030303030303
11,230.13888888888889,224.33333333333334,227.66666666666666
